endTime,artistName,trackName,msPlayed
2021-06-26 13:34,Britney Spears,My Prerogative,10666
2021-06-26 13:37,Måneskin,I WANNA BE YOUR SLAVE,173346
2021-06-26 13:41,Bon Jovi,You Give Love A Bad Name,19413
2021-06-26 13:41,Janelle Monáe,Make Me Feel,194230
2021-06-26 13:44,Joan Jett & The Blackhearts,Bad Reputation,169186
2021-06-26 13:48,Bonnie Tyler,Total Eclipse of the Heart,267360
2021-06-26 13:52,Def Leppard,Pour Some Sugar On Me - Remastered 2017,169685
2021-06-26 13:52,Lizzo,Good as Hell,8021
2021-06-26 14:24,Taylor Swift,willow,214706
2021-06-26 14:31,Taylor Swift,mirrorball,208973
2021-06-26 14:37,Taylor Swift,You Need To Calm Down,171360
2021-06-26 14:42,Taylor Swift,peace,234000
2021-06-26 14:46,Taylor Swift,betty,294520
2021-06-26 14:50,Taylor Swift,seven,208906
2021-06-26 14:54,Taylor Swift,Shake It Off,219200
2021-06-26 14:54,Taylor Swift,the last great american dynasty,13985
2021-06-26 17:52,Drew Seeley,Just That Girl,197786
2021-06-26 17:54,Lana Del Rey,Carmen,129500
2021-06-26 17:57,Selena Gomez,New Classic - Single Version,189333
2021-06-26 18:00,Drew Seeley,Just That Girl,140949
2021-06-26 18:03,Britney Spears,My Prerogative,213893
2021-06-26 18:07,Olivia Rodrigo,enough for you,202826
2021-06-26 18:11,Billie Eilish,everything i wanted,245425
2021-06-26 18:14,Drew Seeley,Just That Girl,197786
2021-06-26 18:19,Lana Del Rey,Carmen,248720
2021-06-26 18:23,Britney Spears,Gimme More,251240
2021-06-26 18:27,Taylor Swift,State Of Grace,28105
2021-06-26 18:27,Kesha,We R Who We R,204760
2021-06-26 18:31,Drew Seeley,Just That Girl,197786
2021-06-26 18:34,Lana Del Rey,Carmen,229553
2021-06-26 20:52,Drew Seeley,Just That Girl,197786
2021-06-26 20:53,Lana Del Rey,Carmen,57413
2021-06-26 20:57,Britney Spears,Gimme More,218837
2021-06-26 21:00,Drew Seeley,Just That Girl,197786
2021-06-26 21:00,Lana Del Rey,Carmen,4294
2021-06-26 21:03,Britney Spears,Gimme More,143829
2021-06-26 21:06,Selena Gomez,New Classic - Single Version,189333
2021-06-26 21:10,Kesha,We R Who We R,195221
2021-06-26 21:13,Ariana Grande,7 rings,178626
2021-06-26 21:13,Taylor Swift,Wildest Dreams,9801
2021-06-26 22:48,Khalid,Location,34645
2021-06-26 22:48,Adele,When We Were Young,8042
2021-06-26 22:53,Taylor Swift,cardigan,6698
2021-06-26 22:53,Taylor Swift,Mr. Perfectly Fine (Taylor’s Version) (From The Vault),277591
2021-06-26 23:04,Taylor Swift,I Knew You Were Trouble.,102314
2021-06-28 03:49,Taylor Swift,Shake It Off,575
2021-06-28 03:49,Taylor Swift,cardigan,1002
2021-06-28 03:49,Taylor Swift,Blank Space,981
2021-06-28 03:49,Taylor Swift,I Knew You Were Trouble.,1322
2021-06-28 03:49,Taylor Swift,the last great american dynasty,1002
2021-06-28 19:00,Taylor Swift,cardigan,810
2021-06-28 19:04,Taylor Swift,peace,234000
2021-06-28 19:09,Taylor Swift,my tears ricochet,30037
2021-06-28 19:09,Taylor Swift,exile (feat. Bon Iver),285640
2021-06-28 19:14,Taylor Swift,my tears ricochet,253147
2021-06-28 19:18,Taylor Swift,Blank Space,231826
2021-06-28 19:20,Taylor Swift,the lakes - bonus track,30016
2021-06-28 21:04,Taylor Swift,the lakes - bonus track,207616
2021-06-28 21:09,Taylor Swift,betty,294520
2021-06-28 21:14,Taylor Swift,Mr. Perfectly Fine (Taylor’s Version) (From The Vault),277591
2021-06-28 21:15,Taylor Swift,You Need To Calm Down,60063
2021-06-28 21:37,Taylor Swift,You Need To Calm Down,169795
2021-06-28 21:41,Taylor Swift,mad woman,237266
2021-06-28 21:41,Taylor Swift,hoax,30073
2021-06-28 21:45,Taylor Swift,hoax,218411
2021-06-28 21:49,Taylor Swift,this is me trying,195106
2021-06-28 21:52,Taylor Swift,ME! (feat. Brendon Urie of Panic! At The Disco),193000
2021-06-28 21:53,Taylor Swift,mirrorball,30058
2021-06-28 21:57,Taylor Swift,mirrorball,206256
2021-06-28 21:57,Taylor Swift,the last great american dynasty,4187
2021-06-28 21:58,Taylor Swift,illicit affairs,60053
2021-06-28 22:01,Taylor Swift,illicit affairs,187864
2021-06-28 22:02,Taylor Swift,willow,4778
2021-06-28 22:05,Lana Del Rey,Young And Beautiful,236053
2021-06-28 22:09,Taylor Swift,Call It What You Want,203506
2021-06-28 22:12,Miley Cyrus,Butterfly Fly Away,6257
2021-06-28 22:12,Drew Seeley,Just That Girl,197786
2021-06-29 07:28,Lucy Hale,Make You Believe,72149
