endTime,artistName,trackName,msPlayed
25,Kanye West,Mercy,3818
25,Logic,Everybody,162346
25,Kanye West,Bound 2,229146
25,Mac Miller,My Favorite Part,216000
25,Kanye West,Good Life,207000
25,Dreamville,Up Up Away (with JID & EARTHGANG feat. Vince Staples),199706
25,Rihanna,FourFiveSeconds,188238
25,Young Thug,Best Friend,213000
25,Kanye West,All Mine,145506
25,Dua Lipa,Lost In Your Light (feat. Miguel),203769
25,JAY-Z,Lift Off,266253
25,Logic,Homicide (feat. Eminem),245386
25,JAY-Z,Ni**as In Paris,96066
25,JAY-Z,Ni**as In Paris,123265
25,Mac Miller,Self Care,345133
25,Kanye West,Flashing Lights,237506
25,Vince Staples,Norf Norf,183160
25,Kanye West,Stronger,311866
25,Chris Brown,Go Crazy,176960
25,Kanye West,Gold Digger,207626
25,Mac Miller,Weekend (feat. Miguel),15819
25,Kanye West,POWER,292093
25,Logic,44 More,188600
25,Kanye West,Heartless,211000
25,Mac Miller,Knock Knock,197929
25,Kanye West,Famous,196040
25,Earl Sweatshirt,Burgundy (feat. Vince Staples),113934
25,Earl Sweatshirt,Burgundy (feat. Vince Staples),3882
25,Keri Hilson,Knock You Down,17258
25,Juice WRLD,Ring Ring (with Rvssian feat. Clever),171816
25,Juice WRLD,Intro,17933
25,Juice WRLD,Empty,248431
25,Juice WRLD,Hurt Me,122285
25,Juice WRLD,Bad Boy (with Young Thug),157355
25,Juice WRLD,Used To,176443
25,Juice WRLD,Black & White,186945
25,Juice WRLD,Rider,192093
25,Juice WRLD,Reminds Me Of You,158032
25,Future,Different (feat. Yung Bans),50699
25,Future,Transformer (feat. Nicki Minaj),99840
25,Juice WRLD,Hide (feat. Seezyn),205800
25,Juice WRLD,Make It Back,102560
25,Juice WRLD,Life's A Mess (feat. Halsey),45562
25,Juice WRLD,Life's A Mess (feat. Halsey),10100
25,Harry Styles,Golden,208906
25,Harry Styles,Falling,85463
25,Harry Styles,Kiwi,176386
25,Harry Styles,She,300295
25,Harry Styles,She,62367
25,Harry Styles,From the Dining Table,211960
25,Harry Styles,"Girl Crush - Recorded at Metropolis Studios, London",243804
25,Harry Styles,Watermelon Sugar,174000
25,Harry Styles,Adore You,155800
25,Nelly,Lil Bit,12675
25,Lady A,Like A Lady,181198
25,Kelsea Ballerini,I Quit Drinking,38939
25,Chris Young,Famous Friends,165569
25,Dierks Bentley,Gone,205960
25,Lee Brice,Memory I Don't Mess With,171835
26,Lee Brice,Memory I Don't Mess With,5897
26,Florida Georgia Line,Always Gonna Love You,1462
26,Lainey Wilson,Things A Man Oughta Know,835
26,Mitchell Tenpenny,To Us It Did,3738
26,Ryan Hurd,Chasing After You (with Maren Morris),49504
26,Brooks & Dunn,Neon Moon,263760
26,Tracy Byrd,Watermelon Crawl,120401
26,Alan Jackson,Livin' On Love,0
26,Trisha Yearwood,She's In Love With The Boy - Single Version,464
26,Joe Diffie,John Deere Green,28815
26,Jo Dee Messina,Bye-Bye,0
26,Kenny Chesney,She's Got It All,417
26,John Michael Montgomery,Life's a Dance,0
26,Shania Twain,No One Needs To Know,0
26,John Anderson,Straight Tequila Night,1602
