endTime,artistName,trackName,msPlayed
2021-06-26 08:41,Kanye West,Mercy,3818
2021-06-26 08:44,Logic,Everybody,162346
2021-06-26 08:47,Kanye West,Bound 2,229146
2021-06-26 08:51,Mac Miller,My Favorite Part,216000
2021-06-26 08:55,Kanye West,Good Life,207000
2021-06-26 08:58,Dreamville,Up Up Away (with JID & EARTHGANG feat. Vince Staples),199706
2021-06-26 09:01,Rihanna,FourFiveSeconds,188238
2021-06-26 09:05,Young Thug,Best Friend,213000
2021-06-26 09:07,Kanye West,All Mine,145506
2021-06-26 09:10,Dua Lipa,Lost In Your Light (feat. Miguel),203769
2021-06-26 09:15,JAY-Z,Lift Off,266253
2021-06-26 09:19,Logic,Homicide (feat. Eminem),245386
2021-06-26 09:21,JAY-Z,Ni**as In Paris,96066
2021-06-26 15:48,JAY-Z,Ni**as In Paris,123265
2021-06-26 15:54,Mac Miller,Self Care,345133
2021-06-26 15:58,Kanye West,Flashing Lights,237506
2021-06-26 16:01,Vince Staples,Norf Norf,183160
2021-06-26 16:06,Kanye West,Stronger,311866
2021-06-26 16:09,Chris Brown,Go Crazy,176960
2021-06-26 16:13,Kanye West,Gold Digger,207626
2021-06-26 16:25,Mac Miller,Weekend (feat. Miguel),15819
2021-06-26 16:31,Kanye West,POWER,292093
2021-06-26 16:34,Logic,44 More,188600
2021-06-26 16:37,Kanye West,Heartless,211000
2021-06-26 16:41,Mac Miller,Knock Knock,197929
2021-06-26 16:44,Kanye West,Famous,196040
2021-06-26 16:46,Earl Sweatshirt,Burgundy (feat. Vince Staples),113934
2021-06-26 19:02,Earl Sweatshirt,Burgundy (feat. Vince Staples),3882
2021-06-26 19:02,Keri Hilson,Knock You Down,17258
2021-06-26 19:05,Juice WRLD,Ring Ring (with Rvssian feat. Clever),171816
2021-06-26 19:06,Juice WRLD,Intro,17933
2021-06-26 19:10,Juice WRLD,Empty,248431
2021-06-26 19:12,Juice WRLD,Hurt Me,122285
2021-06-26 19:14,Juice WRLD,Bad Boy (with Young Thug),157355
2021-06-26 19:17,Juice WRLD,Used To,176443
2021-06-26 19:20,Juice WRLD,Black & White,186945
2021-06-26 19:24,Juice WRLD,Rider,192093
2021-06-26 19:26,Juice WRLD,Reminds Me Of You,158032
2021-06-26 19:27,Future,Different (feat. Yung Bans),50699
