endTime,artistName,trackName,msPlayed
1,J. Cole,KOD,191436
1,The Airborne Toxic Event,Sometime Around Midnight,303586
1,Rachel Platten,Lone Ranger,190026
1,The Killers,Mr. Brightside,222586
1,Catie Turner,God Must Hate Me,149802
1,Karina Grace,tired of me,197600
1,Forest Blakk,If You Love Her,217351
1,Paloma Faith,Only Love Can Hurt Like This,232893
1,Ryn Weaver,Pierre,202746
1,Pitbull,Hotel Room Service,34449
1,Britton,Liberated,16554
1,Amber Run,I Found,2048
1,The Pussycat Dolls,When I Grow Up,245680
1,Cam,Burning House,4358
1,Sasha Alex Sloan,Too Sad To Cry,208986
1,P!nk,Don't Let Me Get Me - Radio Edit,107291
1,Taylor Swift,mirrorball,208977
1,Taylor Swift,Paper Rings,1215
1,Taylor Swift,Death By A Thousand Cuts,3840
1,Wham!,Last Christmas,264960
1,Scarlett Johansson,Set It All Free,214546
1,Victorious Cast,It's Not Christmas Without You (feat. Victoria Justice),153973
1,Darlene Love,Christmas (Baby Please Come Home),166453
1,Ariana Grande,Santa Baby,4814
1,Mariah Carey,All I Want for Christmas Is You,241106
1,Taylor Swift,Mine,3968
1,Mira Housey,expiration date,3242
1,Rachel Platten,Lone Ranger,190026
1,Michael Ray,Get to You,191546
1,The Airborne Toxic Event,Sometime Around Midnight,303586
1,Leanna Firestone,"""Do You Wanna Be Friends?""",42521
1,Timbaland,If We Ever Meet Again (Featuring Katy Perry),292706
1,Taio Cruz,Dynamite,42331
1,Taylor Swift,‘tis the damn season,12714
1,Lana Del Rey,Million Dollar Man,192085
1,Lana Del Rey,Million Dollar Man,38038
1,Olivia Rodrigo,"The Rose Song - From ""High School Musical: The Musical: The Series (Season 2)""",174380
1,Falk Wünsch,Bravery,258246
1,Lana Del Rey,Off To The Races,299933
1,5 Seconds of Summer,Youngblood,203417
1,Billie Eilish,bad guy,194087
1,Billie Eilish,Therefore I Am,174321
1,Taylor Swift,You Belong With Me (Taylor’s Version),231124
1,Catie Turner,God Must Hate Me,149802
1,Iggy Azalea,Beg For It,178107
1,Kallista Rowan,Hey It's Delilah,191043
1,Sasha Alex Sloan,Too Sad To Cry,208986
1,Lana Del Rey,Dark Paradise,243187
1,Maude Latour,Block Your Number,202545
1,Regina Spektor,Dear Theodosia (feat. Ben Folds),145786
1,Dua Lipa,Homesick,230480
1,Måneskin,I WANNA BE YOUR SLAVE,173346
1,Britney Spears,If U Seek Amy,216520
1,Taylor Swift,Love Story (Taylor’s Version),235766
1,Lana Del Rey,American,248907
1,Isabel Pless,Burn Out,100054
1,Paloma Faith,Only Love Can Hurt Like This,232893
1,Mira Housey,expiration date,229673
1,Delaney Bailey,For You,140485
1,Sufjan Stevens,Fourth of July,9002
1,Catie Turner,God Must Hate Me,149802
1,Michael Ray,Get to You,191546
1,Paloma Faith,Only Love Can Hurt Like This,232893
1,Taylor Swift,Getaway Car,233626
1,Ingrid Andress,Feeling Things,190200
1,BANNERS,Someone To You,219801
1,Taylor Swift,I Did Something Bad,238253
1,Ingrid Andress,Lady Like,25865
1,Billie Eilish,bury a friend,193143
1,Ariana Grande,7 rings,178626
1,mxmtoon,prom dress,197933
1,Olivia Rodrigo,"1 step forward, 3 steps back",163586
1,Elle King,America's Sweetheart,245546
1,bülow,You & Jennifer,159453
1,Victorious Cast,You Don't Know Me,917
1,Taylor Swift,my tears ricochet,255893
1,Taylor Swift,Last Kiss,367133
1,5 Seconds of Summer,Good Girls,88106
1,5 Seconds of Summer,Good Girls,3669
1,Michael Ray,Get to You,191546
1,Pitbull,Hotel Room Service,237640
1,The Killers,Mr. Brightside,222586
1,Rachel Platten,Lone Ranger,190026
1,Forest Blakk,If You Love Her,217351
1,The Pussycat Dolls,When I Grow Up,245680
1,Ryn Weaver,Pierre,202746
1,Adele,Set Fire to the Rain,1706
1,Karina Grace,tired of me,5482
1,Taio Cruz,Dynamite,1301
1,Lady Gaga,Bad Romance,294573
1,Taylor Swift,epiphany,289746
1,Little Big Town,Sugar Coat,219840
1,Drew Seeley,Just That Girl,197786
1,Lewis Capaldi,Bruises,1877
1,The Killers,Mr. Brightside,222586
1,Karina Grace,tired of me,197600
1,Pitbull,Hotel Room Service,237640
1,Forest Blakk,If You Love Her,217351
1,Ryn Weaver,Pierre,202746
1,The Pussycat Dolls,When I Grow Up,245680
1,Amber Run,I Found,7125
1,X Ambassadors,Unsteady,2730
1,Amber Run,I Found - Acoustic,259480
1,Little Mix,"Secret Love Song, Pt. II",266925
1,Adele,Love In The Dark,285935
1,Harry Styles,Falling,240133
1,Ruth B.,If By Chance,303653
1,Delaney Bailey,For You,3178
1,Alessia Cara,Out Of Love,227693
1,Lorde,Liability,171727
1,Shontelle,Impossible,16106
1,Bea Miller,i can't breathe,213986
1,Delaney Bailey,For You,3434
1,The Neighbourhood,Sweater Weather,8076
1,CORPSE,HOT DEMON B!TCHES NEAR U ! ! !,96000
1,Jessica Darrow,Surface Pressure,202226
1,Jordan Davis,Buy Dirt,9028
1,Lauren Spencer-Smith,Fingers Crossed,175344
1,Bruno Mars,Just the Way You Are,1920
1,Lucy Dacus,Please Stay,4507
1,The Killers,Mr. Brightside,2410
1,Train,"Hey, Soul Sister",2901
1,Shawn Mendes,Perfectly Wrong,2133
1,Bruno Mars,Just the Way You Are,220734
1,Darlene Love,Christmas (Baby Please Come Home),3818
1,Katy Perry,California Gurls,234653
1,Little Big Town,Sugar Coat,219840
1,Lana Del Rey,Young And Beautiful,236053
1,Taylor Swift,champagne problems,244000
1,Taylor Swift,my tears ricochet,255893
1,Taylor Swift,Last Kiss,367133
1,BANNERS,Someone To You,219801
1,Ingrid Andress,Life of the Party,176053
1,Taylor Swift,Getaway Car,233626
1,Taylor Swift,Blank Space,231826
1,P!nk,Blow Me (One Last Kiss),255586
1,Lennon Stella,Older Than I Am,181533
1,Billie Eilish,NDA,172802
1,Katy Perry,California Gurls,234653
1,Taio Cruz,Dynamite,202613
1,Lady Gaga,Bad Romance,294573
1,Bruno Mars,Just the Way You Are,220734
1,Taylor Swift,Mine,3917
1,B.o.B,Airplanes (feat. Hayley Williams of Paramore),180480
1,Kesha,TiK ToK,199693
1,Eminem,Love The Way You Lie,263373
1,Black Eyed Peas,The Time (Dirty Bit),2240
1,Young Money,BedRock,81021
1,Neon Trees,Animal,212293
1,B.o.B,Magic (feat. Rivers Cuomo),196133
1,Timbaland,Carry Out (Featuring Justin Timberlake),117335
1,Kelly Rowland,Commander,3989
1,Rita Ora,Poison,202906
1,松司馬拓指揮 Ensemble FOVE,アリア《離れずにそばにいて》,221266
1,Britney Spears,Break the Ice,196053
1,Ingrid Andress,Lady Like,1984
1,Billie Eilish,Therefore I Am,174321
1,Taylor Swift,Wildest Dreams,220440
1,Victorious Cast,You Don't Know Me,173760
1,5 Seconds of Summer,Good Girls,206423
1,Ingrid Andress,Feeling Things,102281
1,P!nk,Glitter In the Air,227813
1,Nicki Minaj,Chun-Li,191600
1,Taylor Swift,the lakes - bonus track,211813
1,Britney Spears,My Prerogative,213893
1,Taylor Swift,Paper Rings,222400
1,Madison Beer,Selfish,223270
1,Olivia Rodrigo,drivers license,242013
1,Post Malone,Candy Paint,227533
1,Olivia Rodrigo,favorite crime,152666
1,Ed Sheeran,Cross Me (feat. Chance the Rapper & PnB Rock),206186
1,Todrick Hall,Cake Pop,5616
1,Lana Del Rey,Black Beauty,314533
1,Taylor Swift,this is me trying,195097
1,Olivia Rodrigo,deja vu,215506
1,Billie Eilish,Happier Than Ever,298899
1,Olivia Rodrigo,"jealousy, jealousy",173160
1,Ellie Goulding,Love Me Like You Do,253520
1,Billie Eilish,COPYCAT,194711
1,Iggy Azalea,Work,223196
1,Ingrid Andress,The Stranger,191906
1,Taylor Swift,exile (feat. Bon Iver),285634
1,Taylor Swift,Death By A Thousand Cuts,198533
1,Olivia Rodrigo,"The Rose Song - From ""High School Musical: The Musical: The Series (Season 2)""",174380
1,Madison Beer,Good In Goodbye,141949
1,bülow,You & Jennifer,159453
1,Eminem,Love The Way You Lie,32201
1,City Girls,Act Up,2410
1,Dua Lipa,New Rules,383
1,Sam Smith,Too Good At Goodbyes,201000
1,Beyoncé,If I Were a Boy,249146
1,Dua Lipa,Homesick,230480
1,The Script,Breakeven,261426
1,Camila Cabello,Consequences,3950
1,Michael Ray,Get to You,8170
1,Dean Lewis,Half A Man,10368
1,Lewis Capaldi,Bruises,220492
1,Lorde,Ribs,258969
1,Lauv,Julia,55879
1,Sasha Alex Sloan,Too Sad To Cry,208986
1,One Direction,I Should Have Kissed You,215933
1,One Direction,Hey Angel,240000
1,One Direction,Wolves,8822
1,One Direction,Half a Heart,188546
1,One Direction,Home,88094
1,One Direction,One Thing,197600
1,One Direction,Live While We're Young,200213
1,One Direction,Night Changes,226600
1,One Direction,You & I,237933
1,One Direction,History,187426
1,One Direction,Stand Up,175093
1,One Direction,One Thing - Acoustic,57104
1,Eminem,Love The Way You Lie,1088
1,Taylor Swift,Mine,362
1,Kesha,TiK ToK,199693
1,Lady Gaga,Bad Romance,294573
1,Birdy,Skinny Love,196527
1,Mariah Carey,Obsessed,5994
1,X Ambassadors,Unsteady,2282
1,Julia Brennan,Inner Demons,11735
1,Lady Gaga,Bad Romance,2303
1,Iggy Azalea,Work,2325
1,Camila Cabello,Consequences,20411
1,Ruth B.,If By Chance,303653
1,Adele,Love In The Dark,285935
1,Bea Miller,i can't breathe,213986
1,Alessia Cara,Out Of Love,227693
1,Lorde,Liability,171727
1,Harry Styles,Falling,240133
1,James Arthur,Train Wreck,208826
1,Little Mix,"Secret Love Song, Pt. II",266925
1,Katy Perry,California Gurls,3797
1,The Script,Nothing,95552
1,Saweetie,Tap In,5653
1,Conor Maynard,This Is My Version,5098
1,Michael Ray,Get to You,191546
1,Rachel Platten,Lone Ranger,190026
1,Paloma Faith,Only Love Can Hurt Like This,232893
1,Forest Blakk,If You Love Her,217351
1,The Killers,Mr. Brightside,222586
1,Karina Grace,tired of me,197600
1,The Airborne Toxic Event,Sometime Around Midnight,303586
1,The Pussycat Dolls,When I Grow Up,245680
1,Pitbull,Hotel Room Service,237640
1,Ryn Weaver,Pierre,202746
1,Taylor Swift,Mine,2794
1,The Neighbourhood,Sweater Weather,4991
1,Birdy,Skinny Love,4565
1,Catie Turner,God Must Hate Me,149802
1,Ariana Grande,breathin,896
1,Bruno Mars,Just the Way You Are,3840
1,Ruth B.,If By Chance,303653
1,Rachel Platten,Lone Ranger,38555
1,The Pussycat Dolls,When I Grow Up,245680
1,Ryn Weaver,Pierre,202746
1,Catie Turner,God Must Hate Me,149802
1,Billie Eilish,when the party's over,196077
1,Forest Blakk,If You Love Her,217351
1,Lana Del Rey,Sweet Carolina,201779
1,Pitbull,Hotel Room Service,237640
1,The Killers,Mr. Brightside,222586
1,Michael Ray,Get to You,191546
1,Bea Miller,i can't breathe,213986
1,Paloma Faith,Only Love Can Hurt Like This,10666
1,Lana Del Rey,Thunder,259466
1,The Airborne Toxic Event,Sometime Around Midnight,303586
1,Karina Grace,tired of me,197600
1,Rachel Platten,Lone Ranger,190026
1,Anson Seabra,Walked Through Hell,216864
1,Dustin Lynch,Thinking 'Bout You (feat. Lauren Alaina),170560
1,Matt Cooper,All Of My Heart,167709
1,The Pussycat Dolls,When I Grow Up,245680
1,Ryn Weaver,Pierre,202746
1,Catie Turner,God Must Hate Me,149802
1,Matt Schuster,From The Start,237245
1,Billie Eilish,when the party's over,196077
1,Forest Blakk,If You Love Her,217351
1,Pitbull,Hotel Room Service,1839
1,Lana Del Rey,Sweet Carolina,201779
1,Rachel Platten,Lone Ranger,49322
1,Michael Ray,Get to You,550
1,Rachel Platten,Lone Ranger,102399
1,The Airborne Toxic Event,Sometime Around Midnight,303586
1,One Direction,What Makes You Beautiful,199986
1,Victorious Cast,You Don't Know Me,173760
1,Olivia Rodrigo,brutal,143746
1,Little Mix,Love Me Like You,197786
1,Ariana Grande,breathin,198160
1,Alessia Cara,Out Of Love,227693
1,Taylor Swift,Mine,2005
1,Lennon Stella,Older Than I Am,2026
1,One Direction,Olivia,177973
1,Amber Run,I Found - Acoustic,2431
1,The Script,Breakeven,261426
1,James Bay,Let It Go,2986
1,Adele,When We Were Young,290900
1,Little Mix,"Secret Love Song, Pt. II",266925
1,James Arthur,Train Wreck,165150
1,Mia Giovina,Time Machine,2943
1,Lana Del Rey,Black Bathing Suit,318040
1,Lana Del Rey,Sweet Carolina,201779
1,Lana Del Rey,Cinnamon Girl,10948
1,Lana Del Rey,Thunder,259466
1,Lana Del Rey,Dealer,274293
1,Lana Del Rey,If You Lie Down With Me,265186
1,Lana Del Rey,Cherry Blossom,197933
1,Lana Del Rey,Summertime Sadness,1834
1,Lana Del Rey,Happiness is a butterfly,272485
1,Lana Del Rey,Young And Beautiful,10755
1,Lana Del Rey,Chemtrails Over The Country Club,271176
1,Karina Grace,tired of me,197600
1,The Killers,Mr. Brightside,222586
1,Taylor Swift,Mine,5077
1,Amanda Jordan,Love You to Pieces,8320
1,Lana Del Rey,Cherry Blossom,197933
1,Lana Del Rey,Sweet Carolina,201779
1,Paloma Faith,Only Love Can Hurt Like This,232893
1,Delaney Bailey,For You,140485
1,The Weeknd,Save Your Tears (with Ariana Grande) (Remix),191013
1,Lucy Dacus,Please Stay,1557
1,Lav,Sardine Song,209387
1,Catie Turner,God Must Hate Me,4384
1,Lana Del Rey,Thunder,259466
1,The Airborne Toxic Event,Sometime Around Midnight,303586
1,Avery Lynch,When It Ends,16576
1,Khalid,8TEEN,228600
1,The Pussycat Dolls,When I Grow Up,245680
1,Pitbull,"Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)",252306
1,Keala Settle,Bird Set Free,222762
1,The Killers,Mr. Brightside,222586
1,5 Seconds of Summer,Youngblood,203417
1,Adele,Set Fire to the Rain,4066
1,David Guetta,Sexy Chick (feat. Akon),194346
1,Jessi,Gucci,175498
1,Bazzi,3:15,167018
1,Imagine Dragons,Natural,189466
1,Tyga,Rack City,203200
1,Pitbull,Hotel Room Service,168332
1,Ariana Grande,imagine,136042
1,Gracie Abrams,21,185172
1,Avery Lynch,When It Ends,182412
1,Eminem,Love The Way You Lie,1834
1,Jessie Reyez,FIGURES,917
1,Anson Seabra,Dawning of Spring,2282
1,Calum Scott,Dancing On My Own,2154
1,Bea Miller,i can't breathe,7146
1,5 Seconds of Summer,Youngblood,203417
1,Timbaland,If We Ever Meet Again (Featuring Katy Perry),292706
1,Imagine Dragons,Enemy (with JID) - from the series Arcane League of Legends,173381
1,Khalid,8TEEN,228600
1,Tyga,Rack City,203200
1,Jessie Reyez,FIGURES,240906
1,Travis Mills,She Got A...,207920
1,Pitbull,International Love (feat. Chris Brown),227280
1,Ed Sheeran,Cross Me (feat. Chance the Rapper & PnB Rock),206186
1,Ariana Grande,7 rings,178626
1,Akon,Smack That,212360
1,Cardi B,WAP (feat. Megan Thee Stallion),187541
1,Taylor Swift,Cruel Summer,178426
1,5 Seconds of Summer,Good Girls,206423
1,Ariana Grande,imagine,212266
1,Ariana Grande,Into You,244453
1,5 Seconds of Summer,Youngblood,203417
1,The Pussycat Dolls,When I Grow Up,245680
1,Bazzi,3:15,167018
1,Post Malone,rockstar (feat. 21 Savage),218146
1,Timbaland,If We Ever Meet Again (Featuring Katy Perry),292706
1,Britney Spears,If U Seek Amy,874
1,Tyga,Rack City,203200
1,James Arthur,Train Wreck,1706
1,Michael Ray,Get to You,1621
1,Little Mix,Love Me Like You,4565
1,Little Mix,Love Me Like You,2666
1,Trey Songz,Bottoms Up (feat. Nicki Minaj),242013
1,girl in red,summer depression,21461
1,Freya Ridings,Lost Without You,19112
1,Adele,Hello,295502
1,Michael Ray,Get to You,191546
1,The Airborne Toxic Event,Sometime Around Midnight,303586
1,The Killers,Mr. Brightside,222586
1,Rachel Platten,Lone Ranger,190026
1,Paloma Faith,Only Love Can Hurt Like This,116929
1,Timbaland,If We Ever Meet Again (Featuring Katy Perry),292706
1,Saweetie,ICY GRL (feat. Kehlani) - Bae Mix,148117
1,David Guetta,Sexy Chick (feat. Akon),194346
1,Adele,Set Fire to the Rain,1386
1,Bazzi,Myself,13868
1,Ingrid Andress,Lady Like,194786
1,Imagine Dragons,Enemy (with JID) - from the series Arcane League of Legends,173381
1,Flo Rida,Club Can't Handle Me (feat. David Guetta),234560
1,5 Seconds of Summer,Youngblood,203417
1,Britney Spears,If U Seek Amy,938
1,Cardi B,WAP (feat. Megan Thee Stallion),187541
1,Ariana Grande,imagine,6125
1,CORPSE,HOT DEMON B!TCHES NEAR U ! ! !,96000
1,Pitbull,Hotel Room Service,100223
1,Usher,I Don't Mind (feat. Juicy J),251989
1,Tyga,Rack City,203200
1,Post Malone,rockstar (feat. 21 Savage),218146
1,Rita Ora,Poison,202906
1,Jessie Reyez,FIGURES,5660
1,Travis Mills,She Got A...,207920
1,City Girls,Act Up,2617
1,Pitbull,"Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)",252306
1,Molly Kate Kestner,His Daughter,1429
1,Lana Del Rey,Radio,704
1,Little Mix,Love Me Like You,171156
1,Post Malone,rockstar (feat. 21 Savage),218146
1,Harry Styles,Falling,240133
1,Adele,Love In The Dark,285935
1,Alessia Cara,Out Of Love,227693
1,Bea Miller,i can't breathe,213986
1,Little Mix,"Secret Love Song, Pt. II",266925
1,Lorde,Liability,171727
1,James Bay,Let It Go,7982
1,Beyoncé,Heaven,112917
1,Katy Perry,California Gurls,234653
1,Taylor Swift,Mine,6869
1,Michael Ray,Get to You,191546
1,Karina Grace,tired of me,197600
1,Catie Turner,God Must Hate Me,149802
1,Ariana Grande,"thank u, next",7466
1,Rachel Platten,Lone Ranger,190026
1,The Pussycat Dolls,When I Grow Up,245680
1,Paloma Faith,Only Love Can Hurt Like This,232893
1,Pitbull,Hotel Room Service,237640
1,Ryn Weaver,Pierre,202746
1,The Killers,Mr. Brightside,222586
1,Bea Miller,i can't breathe,213986
1,Forest Blakk,If You Love Her,217351
1,Amber Run,I Found,150121
1,Ed Sheeran,Cross Me (feat. Chance the Rapper & PnB Rock),206186
